FLOW serial number,FLOW source,FLOW destination,FLOW duration,FLOW packet count,FLOW bytes count,FLOW TX time difference median,FLOW TX time difference variance,FLOW packet length median,FLOW packet length variance,FLOW to router or broadcast,FLOW answer count,FLOW answer length median,FLOW answer length variance,FLOW response time median,FLOW response time variance,FLOW label
65.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.979607,49,14014,0.020408,4.94995659722222E-11,286,0,1,48,342,0,0.00802,8.17668166666667E-07,0
59.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.923084,13,546,0.076927,7.88888888889033E-11,42,0,1,12,42,0,0.004049,1.38818685416667E-06,0
10.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.973683,38,10868,0.026316,3.69408327246149E-11,286,0,1,37,342,0,0.007984,1.61244239883126E-06,0
47.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.976189,42,12012,0.02381,9.56157049375394E-11,286,0,1,41,342,0,0.007998,1.20472841094587E-05,0
27.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.95999,25,1050,0.04,1.30159722222217E-10,42,0,1,24,42,0,0.0025715,2.59851078993055E-06,0
44.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.999973,29,8294,0.035713,6.12181122449094E-11,286,0,1,28,342,0,0.008035,3.32755151530612E-06,0
61.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.875003,8,336,0.125006,2.9367346938776E-10,42,0,1,8,42,0,0.004067,1.886943984375E-06,0
79.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.972222,36,10296,0.027776,1.07817632653062E-09,286,0,1,35,342,0,0.008087,1.65022774481633E-05,0
74.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.81818,10,420,0.09091,8.87654320987607E-11,42,0,1,10,42,0,0.003963,2.75543381E-06,0
95.2,b8:27:eb:f9:00:d6,ff:ff:ff:ff:ff:ff,0.388203,172,7224,0.001761,5.4401946586642E-06,42,0,1,0,0,0,0,0,1
95.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.66667,3,858,0.333335,6.4000000000128E-11,286,0,1,3,342,0,0.011236,0.000810692113556,1
49.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.962967,27,7722,0.037037,2.96937869822446E-11,286,0,1,26,342,0,0.0079965,2.08455853994083E-06,0
95.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.666676,3,858,0.333338,2.500000000005E-11,286,0,1,3,342,0,0.011183,8.08088888888887E-09,1
26.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.749999,4,1144,0.250003,5.95555555554773E-11,286,0,1,4,342,0,0.012693,1.1949186875E-06,0
68.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.971431,35,1470,0.028572,5.82500000000015E-11,42,0,1,34,42,0,0.0008985,1.20082822231834E-06,0
18.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.60002,4,168,0.200014,1.39555555555526E-10,42,0,1,4,42,0,0.004033,1.5031875E-09,0
77.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.949997,20,840,0.050001,2.35606648199427E-10,42,0,1,19,42,0,0.003944,1.90539833795014E-08,0
92.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.666662,3,858,0.333331,0,286,0,1,3,342,0,0.011164,5.66218666666667E-07,1
22.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.978724,47,13442,0.021276,4.60642722117154E-11,286,0,1,46,342,0,0.008032,1.22373942911153E-06,0
41.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.800014,5,210,0.200002,1.46749999999974E-10,42,0,1,5,42,0,0.004021,3.45583999999999E-09,0
90.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.947394,37,10582,0.026319,2.6219444444444E-10,286,0,1,37,342,0,0.008143,9.89453775018261E-07,0
99.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.999977,11,462,0.099992,4.20810000000042E-10,42,0,1,10,42,0,0.005196,0.00033104562649,1
99.2,b8:27:eb:f9:00:d6,ff:ff:ff:ff:ff:ff,0.577757,91,26026,0.0057,1.36165629395062E-06,286,0,1,0,0,0,0,0,1
13.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.974997,40,11440,0.025,7.22248520710066E-11,286,0,1,39,342,0,0.008032,1.0062499408284E-06,0
91.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.799985,5,1430,0.1999965,9.18750000001838E-12,286,0,1,5,342,0,0.007938,9.25244E-07,1
86.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.666674,3,126,0.333337,1.68999999999616E-10,42,0,1,3,42,0,0.004084,9.84666666666668E-10,0
25.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.90001,10,420,0.100005,2.15876543209933E-10,42,0,1,9,42,0,0.003997,2.18810974320988E-05,0
39.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.999974,15,630,0.071431,2.70204081632594E-10,42,0,1,14,42,0,0.0040515,1.07352522959184E-06,0
50.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.975609,41,1722,0.02439,1.55243749999972E-11,42,0,1,40,42,0,0.0008875,7.2154576E-07,0
100.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.928584,14,588,0.07143,1.69325443787002E-10,42,0,1,14,42,0,0.0039825,2.76545367142857E-05,1
96.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.96666,30,1260,0.033333,1.80989298454226E-10,42,0,1,25,42,0,0.025246,0.000508212126918,1
96.2,b8:27:eb:f9:00:d6,ff:ff:ff:ff:ff:ff,0.99804,472,19824,0.001762,1.51978885950749E-06,42,0,1,0,0,0,0,0,1
9.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.888942,9,378,0.111115,6.97687500000103E-10,42,0,1,9,42,0,0.004043,0.000870932362765,0
52.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.956496,23,966,0.0434785,1.02537190082631E-10,42,0,1,22,42,0,0.0039205,9.80177679752066E-07,0
100.2,b8:27:eb:f9:00:d6,ff:ff:ff:ff:ff:ff,0.996741,449,18858,0.00176,1.56642656411382E-05,42,0,1,0,0,0,0,0,1
100.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.928552,14,588,0.071427,1.18686390532531E-10,42,0,1,14,42,0,0.02944,0.001154562719429,1
58.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.958311,24,1008,0.041665,3.43776937618143E-10,42,0,1,23,42,0,0.003905,2.22242315689981E-06,0
4.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.972223,36,10296,0.027777,2.97028571428571E-11,286,0,1,35,342,0,0.008027,3.89217735510204E-07,0
67.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.979179,48,13728,0.020833,1.08411045722044E-10,286,0,1,47,342,0,0.008061,2.16252990946129E-06,0
77.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.949998,20,840,0.050002,2.03252077562342E-10,42,0,1,19,42,0,0.003951,1.18878376731302E-07,0
33.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.888903,9,378,0.111118,4.7160937500003E-10,42,0,1,9,42,0,0.00401,8.69606913580247E-08,0
35.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.977273,44,1848,0.022727,3.13639805300199E-11,42,0,1,43,42,0,0.00088,2.12311671173607E-08,0
61.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.750035,7,294,0.1250135,2.71805555555546E-10,42,0,1,7,42,0,0.004066,1.9667727755102E-06,0
49.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.962967,27,7722,0.0370375,4.93091715976332E-11,286,0,1,26,342,0,0.0080075,6.97403457100591E-07,0
59.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.923068,13,546,0.0769265,1.84722222222182E-10,42,0,1,12,42,0,0.00405,5.00160916666667E-07,0
96.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.966673,30,1260,0.033334,1.8245422116528E-10,42,0,1,30,42,0,0.0008995,6.24872795555555E-07,1
89.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.979591,49,2058,0.020408,1.32249565972227E-10,42,0,1,48,42,0,0.000885,7.14530516493056E-08,0
96.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.966677,30,1260,0.033334,4.68347205707521E-11,42,0,1,30,42,0,0.000913,1.22876117888889E-06,1
65.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.979594,49,14014,0.020408,5.65399305555557E-11,286,0,1,48,342,0,0.0080455,2.30254258159722E-06,0
39.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.999959,15,630,0.0714305,3.18229591836786E-10,42,0,1,14,42,0,0.003972,6.79990107142857E-07,0
61.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.750024,7,294,0.125002,7.00000000000105E-11,42,0,1,7,42,0,0.004418,1.93630853061225E-06,0
96.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.96666,30,1260,0.033333,2.94720570749078E-11,42,0,1,30,42,0,0.0340075,0.003446546027646,1
96.2,b8:27:eb:f9:00:d6,ff:ff:ff:ff:ff:ff,0.996647,473,19866,0.00176,1.37590007888807E-06,42,0,1,0,0,0,0,0,1
67.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.979169,48,13728,0.020833,4.58958804889066E-11,286,0,1,47,342,0,0.008026,1.74328687732005E-06,0
16.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.959986,25,7150,0.04,5.4659722222229E-11,286,0,1,24,342,0,0.0100905,2.58546227083333E-06,0
27.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.959994,25,1050,0.039998,8.16041666666713E-11,42,0,1,24,42,0,0.002402,5.11042347222222E-06,0
70.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0,1,42,0,0,42,0,1,1,42,0,0.004996,0,0
77.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.950007,20,840,0.050002,9.65484764542949E-11,42,0,1,19,42,0,0.003946,9.464459833795E-09,0
