FLOW serial number,FLOW source,FLOW destination,FLOW duration,FLOW packet count,FLOW bytes count,FLOW TX time difference median,FLOW TX time difference variance,FLOW packet length median,FLOW packet length variance,FLOW to router or broadcast,FLOW response time median,FLOW response time variance,FLOW response time average,FLOW response time min,FLOW response time max,FLOW label
62.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.199131,50,5100,0.003227,6.90999327530196E-06,102,0,1,0.0019795,6.70186396E-06,0.002825,0.001642,0.019813,0
4.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.163169,50,5100,0.00298,6.90056509787589E-07,102,0,1,0.001774,6.388645536E-07,0.00211908,0.001611,0.005728,0
92.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.480452,49,4998,0.0067345,7.69542365347222E-05,102,0,1,0.004538,6.91410205622657E-05,0.007347734693878,0.001813,0.03849,1
12.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.16748,50,5100,0.002981,8.17729018742191E-07,102,0,1,0.0018235,8.572170196E-07,0.00229502,0.001538,0.005334,0
18.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.175369,50,5100,0.003018,1.35402420241566E-06,102,0,1,0.001847,1.2222477904E-06,0.00243064,0.001665,0.005986,0
6.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.309069,50,5040,0.005221,1.79514441266139E-05,102,70.56,1,0.002221,1.86236819175344E-05,0.003626204081633,0.001818,0.024078,0
65.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.129638,36,3672,0.003036,1.80279342530612E-06,102,0,1,0.0018595,1.77308058950617E-06,0.002598722222222,0.001743,0.007486,0
44.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.173258,50,5100,0.002969,1.84286708704706E-06,102,0,1,0.001843,1.37822293544357E-06,0.002355408163265,0.001605,0.007252,0
92.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.237898,50,5100,0.003281,1.35428077309454E-05,102,0,1,0.0021445,1.284379165E-05,0.0036607,0.001759,0.024821,1
95.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.632641,50,5100,0.008515,0.000172350053713,102,0,1,0.005831,0.000169083649143,0.010226285714286,0.001782,0.069219,1
35.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.206094,50,5100,0.004024,2.00497910204082E-06,102,0,1,0.0018065,4.917937844E-07,0.00210466,0.001414,0.0046,0
84.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.17747,50,5100,0.002966,1.71974246314036E-06,102,0,1,0.001823,1.5784908E-06,0.0024204,0.001644,0.00786,0
61.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.118558,35,3570,0.003081,1.34937505882353E-06,102,0,1,0.001828,1.40051960294118E-06,0.0022835,0.001667,0.008229,0
24.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.086624,26,2652,0.002953,1.2063996384E-06,102,0,1,0.001858,1.1693689664E-06,0.00236744,0.001817,0.005924,0
98.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.2695,50,5100,0.003707,3.09907560816326E-05,102,0,1,0.0018895,3.08285019156E-05,0.00387738,0.001672,0.036605,1
77.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.165025,50,5100,0.002932,2.42399857142857E-06,102,0,1,0.001834,2.41701464639733E-06,0.002297918367347,0.001595,0.012188,0
21.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.084394,26,2652,0.002943,5.585933024E-07,102,0,1,0.001841,4.0916952E-07,0.0021898,0.001755,0.00384,0
54.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.047556,15,1530,0.0030265,7.24034408163265E-07,102,0,1,0.0018405,7.4643606122449E-07,0.002226285714286,0.001788,0.004915,0
23.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.228759,50,5100,0.004177,1.05045690045814E-06,102,0,1,0.002949,1.08165515368596E-06,0.003485775510204,0.002862,0.007249,0
66.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.168258,50,5100,0.003006,9.29862177426073E-07,102,0,1,0.001838,9.61381275301958E-07,0.002302897959184,0.001751,0.005998,0
31.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.188001,50,5100,0.003018,1.76592602165764E-06,102,0,1,0.0018605,1.7391202304E-06,0.00271336,0.001772,0.006399,0
24.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.174344,50,5100,0.003135,1.40298559017076E-06,102,0,1,0.00195,1.41619092378176E-06,0.00242912244898,0.001843,0.007585,0
44.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.168667,50,5100,0.00302,7.20899782590587E-07,102,0,1,0.001882,7.11355940857976E-07,0.002310653061224,0.001753,0.005087,0
